trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",20,0,-170.07926764564712,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-296.7423755469552,"{0: 11, 1: 7, 2: 6, 3: 1, 4: 5}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-16.611607081240866,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",25,0,-95.83224427238088,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",25,0,-145.83584906687543,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,0,-107.45204760084304,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",25,0,-65.01972229875832,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-112.66990452031425,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,2,-101.44648572019139,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",25,1,-112.45468570745359,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 1}",1
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",20,0,17.91600141349628,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",20,0,-21.92067549932355,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",25,0,-3.7671619974190014,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",30,5,-64.05444521036912,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",30,0,-9.286325305294527,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",25,17,16.2269252170401,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",25,0,16.350920738666765,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",20,2,-13.978264167578978,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",30,8,33.29779492024989,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",20,2,18.21202161362867,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,12,15.39948523446419,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,9,13.336436415740234,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,2,18.92204063888331,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,24.521361310673814,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,19.800699689964446,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,3,31.455741130811347,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,6,23.94300282605181,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-15.809135602235433,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,8,20.647106314470356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,20,27.716025365014044,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
