trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.25}",20,8,-99.32733328238746,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.95, 'e': 0.1111111111111111}",25,0,-145.963238677679,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.95, 'e': 0.0625}",20,8,-28.40991625234206,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.95, 'e': 0.04}",25,0,-93.90062555095157,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.027777777777777776}",20,0,-36.35890881698544,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
6,False,"{'a': 0.95, 'e': 0.02040816326530612}",25,16,7.360429856394213,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.95, 'e': 0.015625}",20,0,-79.61506798552978,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.95, 'e': 0.012345679012345678}",25,1,-2.0146413293875067,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.95, 'e': 0.01}",35,18,25.398397373319145,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.008264462809917356}",25,13,0.508862618928412,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.006944444444444444}",20,12,10.864249282218934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.005917159763313609}",25,0,-21.510323574353464,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.00510204081632653}",20,4,-26.48289461834065,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.95, 'e': 0.0044444444444444444}",35,0,-120.35517161776343,"{0: 29, 1: 1, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.95, 'e': 0.00390625}",20,0,-33.43999978122194,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.0034602076124567475}",25,11,21.343368680956093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.95, 'e': 0.0030864197530864196}",30,0,25.2187653707165,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.002770083102493075}",20,3,-13.65946747824269,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.95, 'e': 0.0025}",30,12,5.814994083777942,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.0022675736961451248}",25,18,12.318324992909105,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.95, 'e': 0.002066115702479339}",20,0,-38.68634654532687,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.95, 'e': 0.001890359168241966}",25,14,-1.4562972394708034,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.001736111111111111}",35,19,27.42556884890945,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.0016}",25,0,35.44031928040847,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.95, 'e': 0.0014792899408284023}",25,3,14.813108346634802,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.0013717421124828531}",20,1,1.666309862079971,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.95, 'e': 0.0012755102040816326}",25,0,-3.535689735800263,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.95, 'e': 0.0011890606420927466}",20,8,7.164712942705053,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.0011111111111111111}",30,12,27.32045774928762,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.001040582726326743}",20,4,-20.08251653729651,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.95, 'e': 0.0009765625}",25,7,30.864290250932935,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.0009182736455463728}",25,0,32.35462311418,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.95, 'e': 0.0008650519031141869}",20,7,14.469542016515266,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.0008163265306122449}",20,9,17.55760584475179,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.0007716049382716049}",25,11,-18.99374136435644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.95, 'e': 0.0007304601899196494}",25,5,33.08427693507647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.0006925207756232687}",25,16,3.661034449076068,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.0006574621959237344}",20,5,18.904995198438407,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.000625}",20,16,6.241139109676386,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.000594883997620464}",30,0,-19.30651242525118,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.95, 'e': 0.0005668934240362812}",20,8,6.278399275067921,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.0005408328826392645}",20,14,11.578545203705811,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.0005165289256198347}",30,7,37.8581643829821,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.0004938271604938272}",20,3,29.617084046693858,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.0004725897920604915}",20,13,14.768738411466584,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.0004526935264825713}",25,10,23.420932633292754,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.00043402777777777775}",25,13,19.09979748927931,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.00041649312786339027}",20,13,12.632801434764275,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
