trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.08, 'e': 0.99}",20,0,-132.4298353878346,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.08, 'e': 0.9801}",30,0,-84.18219504554258,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.08, 'e': 0.970299}",20,0,-192.2422789490747,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.08, 'e': 0.9605960100000001}",20,0,-150.76232608589342,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.08, 'e': 0.9509900499}",20,0,-82.35974565733702,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.08, 'e': 0.941480149401}",25,0,-104.76146801140273,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.08, 'e': 0.93206534790699}",25,0,-103.75338294056941,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.08, 'e': 0.9227446944279202}",20,0,-173.59474001023935,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.08, 'e': 0.9135172474836409}",20,7,-76.18828184548231,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.08, 'e': 0.9043820750088045}",25,0,-129.09024783263456,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.08, 'e': 0.8953382542587165}",25,0,-131.3543383910685,"{0: 9, 1: 6, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.08, 'e': 0.8863848717161293}",25,13,-47.17720784165598,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.08, 'e': 0.8775210229989681}",25,0,-205.0408478468922,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",1
