trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-187.11446844812815,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.2, 'e': 0.25}",20,0,-138.73730151060303,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.1111111111111111}",20,0,-154.2259223871447,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.0625}",20,0,-22.170610867263736,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.04}",35,0,-149.99471436041648,"{0: 20, 1: 3, 2: 10, 3: 1, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.027777777777777776}",20,0,-147.1426017500872,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.02040816326530612}",20,0,-39.591184080474626,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.015625}",20,0,-105.86004387554382,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.012345679012345678}",25,0,-113.22817138725958,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.01}",25,0,-178.58684061189226,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.008264462809917356}",25,0,-81.05613680794441,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.006944444444444444}",25,5,-116.1096703660595,"{0: 13, 1: 1, 2: 1, 3: 4, 4: 1}",1
13,False,"{'a': 0.2, 'e': 0.005917159763313609}",25,0,-145.9092767324315,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.00510204081632653}",25,0,-197.79013992052947,"{0: 9, 1: 7, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.0044444444444444444}",25,0,-99.64594493656071,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.00390625}",20,0,-20.570735255188684,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.0034602076124567475}",20,0,-91.23628304152865,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.0030864197530864196}",25,0,-183.4932814768606,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.002770083102493075}",30,0,-178.80592495511257,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.2, 'e': 0.0025}",25,0,-95.77248853864744,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-221.43176125912942,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,-312.9577570714369,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 6}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,13,-26.035521451816262,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-110.59184649868152,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.62311802638874,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-199.73853792132735,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-82.89281331666847,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,8,-84.18741266109386,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,16,-105.02846518856266,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-81.16269598074307,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
